RPM_A,RPM_B,Position_A (deg),Position_B (deg),Distance_A (cm),Distance_B (cm),Current_A,Current_B,Speed_A,Speed_B,Angular_Velocity (deg/s),timestamp
44,-45,94.58823529411765,241.41176470588235,0.00021284464796384177,-0.00022008511106173199,0.1108432264168222,-0.11987670522171712,23.038326666666666,-23.561925,-106.8,1719304094.794742
45,-45,84.70588235294117,251.2941176470588,0.00021284464796384177,-0.00022008511106173199,0.12280648213141276,-0.13183996093630768,23.561925,-23.561925,-107.99999999999999,1719304094.828884
45,-45,76.23529411764706,259.7647058823529,0.0002353150506814321,-0.00024255551377932232,0.11401715140232582,-0.10010071108127061,23.561925,-23.561925,-107.99999999999999,1719304094.864963
44,-45,66.3529411764706,271.05882352941177,0.00025728611111640933,-0.00026502591649691265,0.11035493026520626,-0.11743522446363741,23.038326666666666,-23.561925,-106.8,1719304094.901958
44,-45,56.470588235294116,279.52941176470586,0.00025728611111640933,-0.00026502591649691265,0.10180974761192729,-0.13721121860408303,23.038326666666666,-23.561925,-106.8,1719304094.9368598
45,-45,46.588235294117645,289.4117647058824,0.00025728611111640933,-0.00026502591649691265,0.13794366283150694,-0.10327463606677423,23.561925,-23.561925,-107.99999999999999,1719304094.97288
45,-46,36.705882352941174,299.29411764705884,0.00025728611111640933,-0.00026502591649691265,0.120853297524949,-0.14209418012024333,23.561925,-24.085523333333335,-109.2,1719304095.0090399
44,-45,28.235294117647058,309.1764705882353,0.00025728611111640933,-0.00026502591649691265,0.13306070131534753,-0.10229804376354235,23.038326666666666,-23.561925,-106.8,1719304095.04404
44,-46,18.352941176470587,317.6470588235294,0.0002792571715513865,-0.0002879956614971161,0.14014099551377868,-0.1464888454847868,23.038326666666666,-24.085523333333335,-108.00000000000001,1719304095.0791621
45,-45,7.0588235294117645,328.94117647058823,0.0002792571715513865,-0.0002879956614971161,0.15015106662190547,-0.08349864192632861,23.561925,-23.561925,-107.99999999999999,1719304095.124039
45,-45,358.5882352941176,338.8235294117647,0.0002792571715513865,-0.0002879956614971161,0.11890011291848523,-0.09595019379253511,23.561925,-23.561925,-107.99999999999999,1719304095.158365
44,-45,350.11764705882354,348.70588235294116,0.0003012282319863637,-0.00031046606421470643,0.11987670522171712,-0.11230811487167003,23.038326666666666,-23.561925,-106.8,1719304095.190538
44,-46,340.2352941176471,357.1764705882353,0.0003012282319863637,-0.00031046606421470643,0.13208410901211565,-0.08740501113925614,23.038326666666666,-24.085523333333335,-108.00000000000001,1719304095.228679
45,-46,330.3529411764706,7.0588235294117645,0.0003012282319863637,-0.00031046606421470643,0.16187017426068984,-0.12036500137333306,23.561925,-24.085523333333335,-109.2,1719304095.265035
44,-46,320.47058823529414,15.529411764705882,0.00032869205753008525,-0.00033917824546496073,0.17993713187047966,-0.09643848994415105,23.038326666666666,-24.085523333333335,-108.00000000000001,1719304095.2991161
44,-45,312.0,25.41176470588235,0.00035066311796506244,-0.00036164864818255104,0.18066957609790357,-0.13476973784600332,23.038326666666666,-23.561925,-106.8,1719304095.334367
44,-45,300.70588235294116,33.88235294117647,0.00035066311796506244,-0.00036164864818255104,0.1433149204992823,-0.1523483993041781,23.038326666666666,-23.561925,-106.8,1719304095.371959
45,-45,292.2352941176471,43.76470588235294,0.00035066311796506244,-0.00036164864818255104,0.13623462630085115,-0.1225623340556048,23.561925,-23.561925,-107.99999999999999,1719304095.4060879
45,-45,282.3529411764706,55.05882352941177,0.00035066311796506244,-0.00036164864818255104,0.11230811487167003,-0.1572313608203375,23.561925,-23.561925,-107.99999999999999,1719304095.443109
45,-45,272.47058823529414,63.529411764705884,0.00037313352068265275,-0.00038411905090014135,0.12280648213141276,-0.14258247627185927,23.561925,-23.561925,-107.99999999999999,1719304095.4805162
45,-45,262.5882352941176,73.41176470588235,0.00039560392340024306,-0.00040658945361773165,0.09814752647480773,-0.120853297524949,23.561925,-23.561925,-107.99999999999999,1719304095.515884
45,-45,254.11764705882354,81.88235294117646,0.00041807432611783336,-0.00042905985633532196,0.10986663411359032,-0.1547898800622578,23.561925,-23.561925,-107.99999999999999,1719304095.55003
44,-46,244.23529411764707,93.17647058823529,0.00041807432611783336,-0.00042905985633532196,0.06445509201330601,-0.11181981872005409,23.038326666666666,-24.085523333333335,-108.00000000000001,1719304095.585183
45,-45,234.35294117647058,101.6470588235294,0.00044054472883542367,-0.00045153025905291227,0.11181981872005409,-0.14941862239448245,23.561925,-23.561925,-107.99999999999999,1719304095.6233652
45,-45,225.88235294117646,110.11764705882354,0.00044054472883542367,-0.00045153025905291227,0.06445509201330601,-0.10376293221839017,23.561925,-23.561925,-107.99999999999999,1719304095.654379
45,-45,216.0,118.58823529411765,0.00044054472883542367,-0.00045153025905291227,0.09619434186834397,-0.18018127994628763,23.561925,-23.561925,-107.99999999999999,1719304095.688548
45,-45,207.52941176470588,128.47058823529412,0.00044054472883542367,-0.00045153025905291227,0.07568590350047266,-0.12109744560075697,23.561925,-23.561925,-107.99999999999999,1719304095.724103
